datetime,PV,WF,day,hour
2019-01-04 17:00:00,21.79556731623363,59146.01291828529,4,17
2019-01-04 18:00:00,0.0,33975.33555458085,4,18
2019-01-04 19:00:00,0.0,47658.218215011424,4,19
2019-01-04 20:00:00,0.0,90762.62090977021,4,20
2019-01-04 21:00:00,0.0,125062.12059656366,4,21
2019-01-04 22:00:00,0.0,125507.12717078258,4,22
2019-01-04 23:00:00,0.0,94558.5952949026,4,23
2019-01-05 00:00:00,0.0,94657.78688395236,5,0
2019-01-05 01:00:00,0.0,69626.10884597508,5,1
2019-01-05 02:00:00,0.0,44908.45318378179,5,2
2019-01-05 03:00:00,0.0,19712.138886134482,5,3
2019-01-05 04:00:00,0.0,0.0,5,4
2019-01-05 05:00:00,0.0,0.0,5,5
2019-01-05 06:00:00,0.0,0.0,5,6
2019-01-05 07:00:00,0.2009279345605175,25670.770832029266,5,7
2019-01-05 08:00:00,3.053730287862664,60500.764562845994,5,8
2019-01-05 09:00:00,3.1888084941538475,53807.5045598958,5,9
2019-01-05 10:00:00,3.0230510416259833,138140.2843001554,5,10
2019-01-05 11:00:00,2.923326059158102,337904.97436806385,5,11
2019-01-05 12:00:00,2.961065334303082,371395.8514750797,5,12
2019-01-05 13:00:00,3.0925838493980256,344657.90088251664,5,13
2019-01-05 14:00:00,39.232175375988994,229831.72800106872,5,14
2019-01-05 15:00:00,67.01341532435995,61840.976497235584,5,15
2019-01-05 16:00:00,73.28025442910443,21319.199765183737,5,16
2019-01-05 17:00:00,22.969968198693174,58608.68718530163,5,17
2019-01-05 18:00:00,0.0,120414.40036124678,5,18
2019-01-05 19:00:00,0.0,131289.54871670052,5,19
2019-01-05 20:00:00,0.0,131839.10603472122,5,20
2019-01-05 21:00:00,0.0,111736.74940364623,5,21
2019-01-05 22:00:00,0.0,94461.13226829196,5,22
2019-01-05 23:00:00,0.0,94523.4529037859,5,23
2019-01-06 00:00:00,0.0,91853.48407156847,6,0
2019-01-06 01:00:00,0.0,61221.715447235,6,1
2019-01-06 02:00:00,0.0,61166.083513172634,6,2
2019-01-06 03:00:00,0.0,91737.4431966117,6,3
2019-01-06 04:00:00,0.0,94469.9838967984,6,4
2019-01-06 05:00:00,0.0,94478.59006962366,6,5
2019-01-06 06:00:00,0.0,94430.707453354,6,6
2019-01-06 07:00:00,0.032577837899249354,202426.294771522,6,7
2019-01-06 08:00:00,3.0283540065629886,640029.3298673967,6,8
2019-01-06 09:00:00,12.019834031527473,1402982.8997989683,6,9
2019-01-06 10:00:00,8.169305581953608,1709688.2879276203,6,10
2019-01-06 11:00:00,4.540306337991407,1760076.178481635,6,11
2019-01-06 12:00:00,33.536934350577795,1784660.3465746432,6,12
2019-01-06 13:00:00,33.2568130590179,1782329.7771918965,6,13
2019-01-06 14:00:00,47.07983987795179,1717168.6072222937,6,14
2019-01-06 15:00:00,27.394798522651627,1213581.2530162295,6,15
2019-01-06 16:00:00,46.023252174645414,639124.8275486362,6,16
2019-01-06 17:00:00,14.228349945226197,510678.7482818922,6,17
2019-01-06 18:00:00,0.0,719656.9949356155,6,18
2019-01-06 19:00:00,0.0,777383.5878146165,6,19
2019-01-06 20:00:00,0.0,778658.1284646463,6,20
2019-01-06 21:00:00,0.0,779887.9832303756,6,21
2019-01-06 22:00:00,0.0,788852.537023293,6,22
2019-01-06 23:00:00,0.0,934019.8716862149,6,23
2019-01-07 00:00:00,0.0,1182383.3537286615,7,0
2019-01-07 01:00:00,0.0,1342302.5271660364,7,1
2019-01-07 02:00:00,0.0,1063612.3675262698,7,2
2019-01-07 03:00:00,0.0,508357.0579543157,7,3
2019-01-07 04:00:00,0.0,176168.4143645445,7,4
2019-01-07 05:00:00,0.0,72267.71707224648,7,5
2019-01-07 06:00:00,0.0,44903.769786067416,7,6
2019-01-07 07:00:00,0.5118352303194856,194591.79715859867,7,7
2019-01-07 08:00:00,11.557782765812048,602810.0131970672,7,8
2019-01-07 09:00:00,9.39785278104754,996308.1151675013,7,9
2019-01-07 10:00:00,32.16138692580911,1425885.5537699072,7,10
2019-01-07 11:00:00,40.229805299412405,1694694.074726241,7,11
2019-01-07 12:00:00,50.642287822459785,1764329.187558782,7,12
2019-01-07 13:00:00,23.13953212234649,1735897.5119623444,7,13
2019-01-07 14:00:00,45.4256053322509,1559673.5106554467,7,14
2019-01-07 15:00:00,21.563179020670965,1021332.7861273179,7,15
2019-01-07 16:00:00,5.347037619122625,523744.55966004136,7,16
2019-01-07 17:00:00,0.4371014193003604,370388.9690751711,7,17
2019-01-07 18:00:00,0.0,585350.5067266044,7,18
2019-01-07 19:00:00,0.0,707843.4174410134,7,19
2019-01-07 20:00:00,0.0,602376.0404821063,7,20
2019-01-07 21:00:00,0.0,432606.98618377896,7,21
2019-01-07 22:00:00,0.0,302103.86260873557,7,22
2019-01-07 23:00:00,0.0,260856.1558452168,7,23
2019-01-08 00:00:00,0.0,217567.57692942693,8,0
2019-01-08 01:00:00,0.0,158309.82356727548,8,1
2019-01-08 02:00:00,0.0,102086.5034100211,8,2
2019-01-08 03:00:00,0.0,60796.53913098439,8,3
2019-01-08 04:00:00,0.0,42769.77664863513,8,4
2019-01-08 05:00:00,0.0,33230.8736979512,8,5
2019-01-08 06:00:00,0.0,0.0,8,6
2019-01-08 07:00:00,0.48205343774764653,96420.30509304874,8,7
2019-01-08 08:00:00,9.545850949437488,277933.70454539894,8,8
2019-01-08 09:00:00,7.773695084057331,312513.9136567308,8,9
2019-01-08 10:00:00,12.622824439439306,282747.17121863714,8,10
2019-01-08 11:00:00,19.64660076691984,219364.76025804156,8,11
2019-01-08 12:00:00,40.285402696225184,169672.47901000775,8,12
2019-01-08 13:00:00,25.715417179235654,103338.5699013678,8,13
2019-01-08 14:00:00,49.59905805731913,38273.62724285462,8,14
2019-01-08 15:00:00,48.56006897477415,0.0,8,15
2019-01-08 16:00:00,18.121672736607316,0.0,8,16
2019-01-08 17:00:00,0.9704985451545007,0.0,8,17
2019-01-08 18:00:00,0.0,0.0,8,18
2019-01-08 19:00:00,0.0,54514.57793037678,8,19
2019-01-08 20:00:00,0.0,111019.9089226483,8,20
2019-01-08 21:00:00,0.0,159358.90625684347,8,21
2019-01-08 22:00:00,0.0,215968.95718211678,8,22
2019-01-08 23:00:00,0.0,316097.19599029387,8,23
2019-01-09 00:00:00,0.0,488133.35869034624,9,0
2019-01-09 01:00:00,0.0,715953.262064086,9,1
2019-01-09 02:00:00,0.0,1004299.3386632274,9,2
2019-01-09 03:00:00,0.0,1394383.421073866,9,3
2019-01-09 04:00:00,0.0,1637894.643921582,9,4
2019-01-09 05:00:00,0.0,1694630.6817629093,9,5
2019-01-09 06:00:00,0.0,1727219.5575621403,9,6
2019-01-09 07:00:00,0.18877403816737098,1795595.0097276145,9,7
2019-01-09 08:00:00,5.147910741839547,1800000.0,9,8
2019-01-09 09:00:00,10.056055434806416,1800000.0,9,9
2019-01-09 10:00:00,9.962657870383206,1800000.0,9,10
