Year,Month,Day,Hour,Minute,DNI,Wind Speed
2019,1,7,6,30,0,4.1000000000000005
2019,1,7,7,30,1,4.3
2019,1,7,8,30,268,4.3
2019,1,7,9,30,264,4.1000000000000005
2019,1,7,10,30,296,3.8000000000000003
2019,1,7,11,30,406,3.5
2019,1,7,12,30,914,3.1
2019,1,7,13,30,514,2.7
2019,1,7,14,30,387,2.2
2019,1,7,15,30,0,1.7000000000000002
2019,1,7,16,30,0,1.4000000000000001
2019,1,7,17,30,0,1.5
2019,1,7,18,30,0,1.6
2019,1,7,19,30,0,1.8
2019,1,7,20,30,0,2.2
2019,1,7,21,30,0,2.7
2019,1,7,22,30,0,3
2019,1,7,23,30,0,3.2
2019,1,8,0,30,0,3.5
2019,1,8,1,30,0,3.8000000000000003
2019,1,8,2,30,0,4
2019,1,8,3,30,0,4.2
2019,1,8,4,30,0,4.3
2019,1,8,5,30,0,3.9000000000000004
2019,1,8,6,30,0,3.1
2019,1,8,7,30,9,2.5
2019,1,8,8,30,0,2
2019,1,8,9,30,47,1.7000000000000002
2019,1,8,10,30,4,1.5
2019,1,8,11,30,0,1.4000000000000001
2019,1,8,12,30,0,1.2000000000000002
2019,1,8,13,30,0,1
2019,1,8,14,30,0,0.9
2019,1,8,15,30,5,0.9
2019,1,8,16,30,30,1
2019,1,8,17,30,0,1.3
2019,1,8,18,30,0,1.4000000000000001
2019,1,8,19,30,0,1.5
2019,1,8,20,30,0,1.3
2019,1,8,21,30,0,1.3
2019,1,8,22,30,0,1.7000000000000002
2019,1,8,23,30,0,2.3000000000000003
2019,1,9,0,30,0,3.8000000000000003
2019,1,9,1,30,0,5.6000000000000005
2019,1,9,2,30,0,6.6000000000000005
2019,1,9,3,30,0,6.800000000000001
2019,1,9,4,30,0,6.7
2019,1,9,5,30,0,6.6000000000000005
2019,1,9,6,30,0,6.6000000000000005
2019,1,9,7,30,182,6.6000000000000005
2019,1,9,8,30,663,6.7
2019,1,9,9,30,813,6.7
2019,1,9,10,30,645,6.7
2019,1,9,11,30,215,6.5
2019,1,9,12,30,92,6.300000000000001
2019,1,9,13,30,72,6.1000000000000005
2019,1,9,14,30,48,5.9
2019,1,9,15,30,2,5.6000000000000005
2019,1,9,16,30,0,5.4
2019,1,9,17,30,0,5.4
2019,1,9,18,30,0,5.4
2019,1,9,19,30,0,5.4
2019,1,9,20,30,0,5.5
2019,1,9,21,30,0,5.7
2019,1,9,22,30,0,5.800000000000001
2019,1,9,23,30,0,5.9
2019,1,10,0,30,0,6
2019,1,10,1,30,0,6
2019,1,10,2,30,0,6.2
2019,1,10,3,30,0,6.300000000000001
2019,1,10,4,30,0,6.4
2019,1,10,5,30,0,6.5
2019,1,10,6,30,0,6.6000000000000005
2019,1,10,7,30,0,6.7
2019,1,10,8,30,137,6.9
2019,1,10,9,30,300,7
2019,1,10,10,30,108,7.2
2019,1,10,11,30,1,7.2
2019,1,10,12,30,1,7.2
2019,1,10,13,30,90,7.1000000000000005
2019,1,10,14,30,5,7
2019,1,10,15,30,16,6.800000000000001
2019,1,10,16,30,141,6.7
2019,1,10,17,30,0,6.5
2019,1,10,18,30,0,6.4
2019,1,10,19,30,0,6.2
2019,1,10,20,30,0,6.1000000000000005
2019,1,10,21,30,0,6
2019,1,10,22,30,0,5.9
2019,1,10,23,30,0,5.800000000000001
2019,1,11,0,30,0,5.800000000000001
2019,1,11,1,30,0,5.800000000000001
2019,1,11,2,30,0,5.9
2019,1,11,3,30,0,5.9
2019,1,11,4,30,0,5.9
2019,1,11,5,30,0,5.9
2019,1,11,6,30,0,5.9
2019,1,11,7,30,57,6
2019,1,11,8,30,571,6.1000000000000005
2019,1,11,9,30,849,6
2019,1,11,10,30,918,5.800000000000001
2019,1,11,11,30,949,5.7
2019,1,11,12,30,768,5.7
2019,1,11,13,30,924,5.6000000000000005
2019,1,11,14,30,859,5.4
2019,1,11,15,30,726,5.2
2019,1,11,16,30,339,5
2019,1,11,17,30,0,4.800000000000001
2019,1,11,18,30,0,4.7
2019,1,11,19,30,0,4.3
2019,1,11,20,30,0,4
2019,1,11,21,30,0,3.7
2019,1,11,22,30,0,3.4000000000000004
2019,1,11,23,30,0,3.1
2019,1,12,0,30,0,3
2019,1,12,1,30,0,2.8000000000000003
2019,1,12,2,30,0,2.7
2019,1,12,3,30,0,2.6
2019,1,12,4,30,0,2.5
2019,1,12,5,30,0,2.4000000000000004
2019,1,12,6,30,0,2.3000000000000003
2019,1,12,7,30,0,2.3000000000000003
2019,1,12,8,30,121,2.3000000000000003
2019,1,12,9,30,445,2.2
2019,1,12,10,30,304,1.9000000000000001
2019,1,12,11,30,126,1.7000000000000002
2019,1,12,12,30,271,1.7000000000000002
2019,1,12,13,30,305,1.6
2019,1,12,14,30,319,1.5
2019,1,12,15,30,161,1.3
2019,1,12,16,30,38,1.2000000000000002
2019,1,12,17,30,0,1.1
2019,1,12,18,30,0,1
2019,1,12,19,30,0,0.9
2019,1,12,20,30,0,0.8
2019,1,12,21,30,0,1
2019,1,12,22,30,0,1.3
2019,1,12,23,30,0,1.6
2019,1,13,0,30,0,1.8
2019,1,13,1,30,0,2
2019,1,13,2,30,0,2.2
2019,1,13,3,30,0,2.4000000000000004
2019,1,13,4,30,0,2.8000000000000003
2019,1,13,5,30,0,3.2
2019,1,13,6,30,0,3.6
2019,1,13,7,30,0,3.8000000000000003
2019,1,13,8,30,0,3.8000000000000003
2019,1,13,9,30,299,3.7
2019,1,13,10,30,754,3.7
2019,1,13,11,30,354,3.7
2019,1,13,12,30,319,3.8000000000000003
2019,1,13,13,30,507,3.9000000000000004
2019,1,13,14,30,597,4
2019,1,13,15,30,656,4.3
2019,1,13,16,30,155,4.7
2019,1,13,17,30,0,4.9
2019,1,13,18,30,0,5
2019,1,13,19,30,0,4.9
2019,1,13,20,30,0,4.9
2019,1,13,21,30,0,4.9
2019,1,13,22,30,0,4.9
2019,1,13,23,30,0,5
2019,1,14,0,30,0,5.2
2019,1,14,1,30,0,5.300000000000001
2019,1,14,2,30,0,5.4
2019,1,14,3,30,0,5.300000000000001
2019,1,14,4,30,0,5.2
2019,1,14,5,30,0,4.9
2019,1,14,6,30,0,4.800000000000001
2019,1,14,7,30,13,4.7
2019,1,14,8,30,152,4.6000000000000005
2019,1,14,9,30,550,4.4
2019,1,14,10,30,860,4.1000000000000005
2019,1,14,11,30,939,3.8000000000000003
2019,1,14,12,30,946,3.6
2019,1,14,13,30,925,3.3000000000000003
2019,1,14,14,30,867,3.1
2019,1,14,15,30,737,2.7
2019,1,14,16,30,359,2.6
2019,1,14,17,30,0,2.6
2019,1,14,18,30,0,2.6
