Settlement Point Price
14.7
18.45
17.73
13.6
16.14
16.77
15.99
10.23
13.16
11.89
13.54
15.7
14.9
10.43
13.51
15.33
14.68
14.64
16.84
15.41
13.84
15.93
15.72
13.34
14.99
15.13
12.83
12.59
14.94
15.15
16.18
11.22
8.06
11.49
13.61
17.26
14.67
14.88
8.37
11.18
15.32
17.21
12.8
15.61
14.93
14.33
9.82
14.53
14.82
17.43
17.52
15.22
14.12
11.84
13.55
12.53
20.52
15.55
13.34
11.33
14.32
13.4
13.97
13.1
13.34
9
9.59
14.49
13.13
13.21
17.72
17.4
18.84
19.38
18.38
16.74
14.9
15.11
16.73
20
17.28
14.07
18.49
20.45
15.83
14.6
20.1
13.97
14.18
13.48
12.08
12.08
13.81
17.82
13.15
12.61
14.08
15.93
14.68
11.56
12.25
11.95
13.93
15.41
11.5
10.59
14.82
12.4
15.86
14.61
14.4
14.65
14.53
14.08
14.81
9.79
13.79
16.09
17.3
12.97
12.25
11.6
13.7
15.1
16.62
14.59
15.19
17.69
13.55
13.84
13.84
14.2
17.38
13.92
13.26
16.35
13.77
12.06
13.28
13.98
14.03
14.23
13.87
12.28
13.74
14.52
13.48
13.64
12.67
12.75
13.17
12.73
12.88
13.4
14.69
14.85
14.42
14.44
14.13
15.37
13.51
11.96
12.17
12.35
12.24
12.69
12.63
11.75
12.63
12.12
11.3
12
11.9
13.37
12.43
11.57
10.91
12.26
11.23
11.69
14.25
14.57
15.79
15.25
14.92
14.95
14.21
14.14
14.07
13.96
15.03
14.47
14.94
15.58
14.74
14.54
15.34
14.87
13.84
14.5
13.64
13.38
14.55
14.68
15.37
13.96
14.37
14.73
15.09
15.2
17.12
18.17
17.33
14.81
13.76
14.15
16.75
16.77
17.43
17.6
16.79
17.23
17.14
17.57
17.16
17.3
17.67
18.08
18.35
17.2
15.63
16.48
16.13
16.18
16.36
17.47
17.68
16.83
16.75
19.02
17.85
17.35
19.8
18.14
19.34
17.53
17.27
16.89
16.4
15.36
15.55
16.16
16.99
15.02
16.98
15.98
15.51
17.38
17.45
17.39
13.12
12.02
10.24
11.6
14.44
11.86
11.83
12.81
15.3
14.7
13.59
14.06
12.59
11.44
11.94
11.19
11.04
11.37
11.67
13.6
13.74
13.63
14.57
14.38
15.94
15.87
16.28
17.82
14.72
16.14
20.74
20.97
19.31
20.05
23.16
24.44
23.51
20.08
19.97
27.15
25.16
25.83
21.47
22.28
27.99
21.08
18.77
19.73
25.37
18.35
16.6
15.66
19.91
21.3
20.62
20.05
22.65
21.46
18.38
20.25
16.51
15.86
13.33
16.28
16.32
16.59
10.61
15.16
15.05
14.75
21.08
19.36
14.01
17.71
17.27
19.37
21.22
19.87
18.78
18.98
18.85
16.37
10.96
9.39
16.78
12.75
19.49
16.82
20.03
21.17
15.22
16.89
19.36
19.4
17.86
10.81
18.13
20.83
16.82
10.44
16.36
16.22
17.72
18.94
22.99
19.39
16.48
16.03
17.92
11.79
17.85
19.61
20.5
18.37
23.01
21.74
18.17
14.75
20.32
21.88
21.94
17.87
15.55
21.65
16.29
17.1
18.44
14.74
15.07
17.17
18.39
19.24
19.72
13.06
19.5
20.45
18.58
17.32
6.58
20.63
19.25
22.11
12.51
20.75
21.62
23.92
34.74
25.9
25.9
25.9
25.9
25.9
25.9
25.9
25.9
40.35
25.05
12.31
3.24
5.86
18.42
17.19
15.23
14.24
18.68
17.46
14.53
12.85
22.08
18.72
15.76
11.1
4.73
20.26
20.43
25.33
21.35
18.04
22.38
21.59
21.45
20.28
19.36
15.48
12.97
25.84
20.65
21.17
20.18
21.88
20.53
17.84
17.18
22.29
24.48
19.65
14.6
17.91
17.69
16.76
19.39
21.3
18.27
17.64
17.68
20.13
19.53
22.11
24.29
22.13
20.19
32.93
36.26
20.13
21.26
20.13
20.85
21.37
20.33
18.32
22.45
24.6
24.22
28.39
30.76
29.27
22.32
20.85
22.88
18.06
21.34
20.9
21.3
21.54
26.45
23.08
22.77
18.5
17.23
19.94
20.46
18.96
21.55
19.22
19.23
18.77
20.89
17.03
19
18.54
20.05
22.23
23.31
21.39
20.15
25.35
21.98
20.61
22
20.34
17.06
20.92
23.5
20.48
21.56
22.74
22.31
28
26
25.57
28.81
22.76
22.3
21.84
21.61
23.74
22.18
23.88
22.59
24.82
22.47
28.8
27.55
24.34
24.94
25.99
29.63
29.41
28.09
26.7
27.14
28.68
30
28.19
25.91
23.94
29.07
24.31
24.35
25.48
26.2
26.03
28.25
28.26
29.1
26.06
25.06
25.1
26.63
26.14
26.8
28.9
30.04
32
31.16
30.71
30.61
32.04
30.61
29.14
30.46
29.2
28.48
25.73
26.2
27.53
28.27
28.58
30.34
32.74
34.54
30.53
31.39
28.22
24.08
28.21
27.16
28.86
28.25
28.09
28.97
29.28
28.16
27.77
30.46
33
33.18
30.52
28.52
30.77
31.26
35.29
33.6
31.49
31.46
33.05
32.35
29.46
32.38
33.35
30.77
37.46
38.21
35.49
41.37
40.46
37.06
38.08
36.66
34.16
29.13
31.17
31.06
30.72
34.34
36.58
37.67
41.78
42.25
46.27
45.42
42.69
40.62
39.46
37.95
41
42.83
41.64
36.72
40.88
38.57
42.08
44.57
42.78
35.78
32.42
33.25
40.22
38.18
35.26
35.25
41.7
37.16
40.01
36.64
39.33
46.63
34.44
40.4
36.04
40.8
50.25
44.97
35.91
31.97
29.66
23.27
24.06
31.69
24.13
42.01
23.59
40.51
23.57
27.62
25.77
37.13
26.74
24.76
42.06
35.56
19.31
25.78
34.87
28.84
39.58
33.58
24.58
31.83
32.82
23.97
28.96
34.35
23.66
32
28.39
21.25
19.63
30.28
26.1
21.69
20.8
22.62
26.48
27.29
26.08
28.39
28.51
32.96
26.72
20.31
13.89
13.5
27.57
21.98
18.54
25.2
24.89
25.63
26.41
25.18
36.78
25.85
24.29
25.07
30.51
26.47
25.2
27.13
31.51
27.94
32.58
29.73
17.37
41.46
31.41
23.46
22.83
29.24
36.45
27.91
31.22
27.88
31.58
23.08
33.82
24.84
32.89
28.05
28.09
26.45
21.53
35.82
79.19
75.52
31.06
37.8
37.07
28.06
29.01
27.49
15.18
30.57
21.91
19.94
10.65
13.11
33.83
31.36
20.19
9.17
17.19
14.68
38.09
32.98
37.89
48.66
31.29
30.23
26.05
22.09
18.98
13.17
33.7
30.17
37.08
43.54
30.33
24.86
55.66
27.71
19.78
31.53
33.87
20.82
25.58
42.55
22.95
19.26
32.49
34.26
42.41
41.6
29.93
28.16
24.78
31.31
42.65
38.89
37.65
36.16
35.34
28.29
55.31
40.46
40.62
47.43
47.51
17.76
49.5
47.83
52.54
69.86
45.84
48.92
62.12
51.31
44.07
47.88
53.77
61.12
59.19
51.11
56.23
48.77
46.77
48.56
57.91
52.28
52.45
45.33
51.12
53.09
63.32
82.62
68.1
60.78
61.87
60.05
59.51
57.64
58.81
64.58
55.44
57.79
50.68
59.35
61.85
60.68
65.31
56.49
68.68
57.84
55.28
74.95
64.66
70.41
71.13
52.5
52.13
53.85
66.17
72.01
62.19
56.85
55.64
60.21
66.51
69.2
76.27
63.53
66.28
65.46
63.67
68.19
71.47
68.2
65.44
61.56
65.29
60.3
60.26
56.23
51.62
54.15
51.64
